Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,0.1uF,C5142567
J1,HRS_FH34SRJ-6S-0.5SH_50_,1,Conn_01x06,C5213748
"J2, J3",Connector_Castelled_3pin_2.54mm_withVIA,2,Conn_01x03,
"R1, R2, R3, R4",0402,4,10k,C2906885
